epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.6859,1.34929,3.4946,1.1912,0.90734,0.09932,0.14381,0.10167,0.95398,2.75518,1.01647,0.000992537,0.000330846,0.000992537,0.000330846,0.000992537,0.000330846,0.000992537,0.000330846
2,26.8725,1.31025,2.17057,1.17637,0.93645,0.19448,0.23122,0.1661,0.89787,1.26775,0.95757,0.00197281,0.000657604,0.00197281,0.000657604,0.00197281,0.000657604,0.00197281,0.000657604
3,38.2969,1.26338,1.59743,1.12007,0.90235,0.3163,0.36411,0.25431,0.86785,1.02407,0.93771,0.00293329,0.000977762,0.00293329,0.000977762,0.00293329,0.000977762,0.00293329,0.000977762
4,48.234,1.21213,1.35931,1.08329,0.85823,0.3593,0.41218,0.28713,0.83162,0.98245,0.93037,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,59.0348,1.17628,1.24428,1.06521,0.64584,0.40216,0.44509,0.3157,0.80523,0.88584,0.92542,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,69.6809,1.12933,1.16158,1.04397,0.81148,0.43015,0.46837,0.32893,0.80061,0.88573,0.92807,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,80.3863,1.11476,1.12091,1.03696,0.81124,0.45408,0.47888,0.33699,0.79679,0.83677,0.92565,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,91.7159,1.10705,1.07967,1.03339,0.84237,0.43379,0.48195,0.32932,0.79063,0.8177,0.92195,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,104.239,1.07788,1.04622,1.02439,0.79058,0.44256,0.45953,0.31754,0.79687,0.82822,0.92265,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,114.604,1.06569,1.02313,1.01218,0.83492,0.41947,0.4669,0.33119,0.77995,0.77118,0.91643,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
