epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.34213,1.44779,3.66276,1.23024,0.0139,0.38667,0.08086,0.0483,1.25031,3.47703,1.11031,0.000988764,0.000329588,0.000988764,0.000329588,0.000988764,0.000329588,0.000988764,0.000329588
2,10.3243,1.40325,2.32963,1.2248,0.9625,0.10558,0.16071,0.09988,1.2685,1.9047,1.11995,0.00196908,0.000656358,0.00196908,0.000656358,0.00196908,0.000656358,0.00196908,0.000656358
3,14.1482,1.36966,1.7233,1.18091,0.87833,0.24725,0.29322,0.194,1.2562,1.42181,1.05985,0.00292959,0.000976529,0.00292959,0.000976529,0.00292959,0.000976529,0.00292959,0.000976529
4,17.8488,1.32206,1.43793,1.12642,0.71794,0.28543,0.33758,0.22929,1.20757,1.23726,1.01943,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,21.5709,1.28837,1.2865,1.10245,0.73008,0.35172,0.36173,0.24293,1.15898,1.1264,1.00913,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,25.2572,1.24265,1.20654,1.08158,0.82734,0.3493,0.39357,0.26685,1.12337,1.06678,0.99875,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,29.0726,1.20094,1.14705,1.0628,0.78392,0.37542,0.42101,0.29078,1.10516,1.01006,0.98082,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,32.7181,1.18514,1.10454,1.04934,0.81955,0.38765,0.43486,0.28836,1.11286,1.00492,0.98714,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,36.2667,1.16557,1.07705,1.04842,0.78143,0.42433,0.44524,0.29325,1.11268,0.9913,0.98653,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,39.8845,1.14481,1.04951,1.03803,0.86482,0.39715,0.48261,0.31448,1.07912,0.96214,0.97743,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,43.6425,1.12581,1.01708,1.02861,0.81338,0.41999,0.48621,0.31882,1.08517,0.92759,0.96834,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,47.4991,1.13609,1.01005,1.02851,0.8004,0.39925,0.449,0.29627,1.08257,0.94464,0.974,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,51.2272,1.10441,0.98282,1.01708,0.85938,0.40095,0.4593,0.30395,1.06366,0.92232,0.96268,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,54.8267,1.10561,0.97521,1.01378,0.82748,0.40309,0.44533,0.30175,1.04906,0.90932,0.95552,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,58.3847,1.09227,0.95928,1.00415,0.80853,0.43016,0.46,0.31348,1.03767,0.89836,0.95278,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,62.185,1.07595,0.94634,1.00175,0.83996,0.38356,0.4516,0.31461,1.06282,0.90186,0.95554,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,65.8868,1.0933,0.94488,1.00061,0.86801,0.37047,0.45604,0.31787,1.05281,0.88815,0.94965,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,69.6825,1.08459,0.93327,0.9998,0.85054,0.39371,0.47745,0.33097,1.04263,0.88557,0.94727,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,73.6556,1.07931,0.92628,1.00537,0.62965,0.43196,0.47492,0.31562,1.04283,0.87279,0.94934,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,77.4656,1.06028,0.9118,0.99343,0.85911,0.38394,0.46554,0.3261,1.02493,0.86336,0.94748,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,81.3782,1.05621,0.89649,0.9875,0.82891,0.40064,0.46671,0.31729,1.02852,0.87489,0.94343,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,85.4352,1.05028,0.89926,0.98986,0.69323,0.3846,0.48388,0.32227,1.03084,0.872,0.94446,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,89.4668,1.04279,0.88715,0.98166,0.61774,0.44317,0.48393,0.32834,1.02003,0.85029,0.94137,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,94.2321,1.04047,0.88064,0.98486,0.86696,0.37619,0.49668,0.33134,1.01948,0.85661,0.93833,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,99.0271,1.05008,0.88424,0.98901,0.69508,0.40645,0.48031,0.32503,1.01833,0.84609,0.94834,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,104.098,1.01768,0.86778,0.9833,0.46304,0.50609,0.49357,0.33328,1.01276,0.82843,0.94097,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,109.5,1.02958,0.86029,0.97558,0.62824,0.447,0.50379,0.33841,1.01341,0.83809,0.94212,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,114.654,1.02448,0.86064,0.97877,0.65859,0.39478,0.48559,0.33377,1.02145,0.84059,0.94252,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,119.607,1.0238,0.85154,0.97265,0.69169,0.41862,0.53365,0.33963,1.00633,0.83289,0.93745,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,124.173,1.02153,0.84861,0.97567,0.68938,0.44934,0.52703,0.34121,1.00585,0.83047,0.94021,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,129.111,1.01607,0.8429,0.96776,0.71677,0.40509,0.53384,0.3477,1.00012,0.83536,0.93842,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,134.208,1.01922,0.84244,0.97497,0.54215,0.51016,0.52805,0.34439,0.9988,0.8291,0.93137,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,139.092,1.0038,0.82697,0.96456,0.53876,0.51996,0.5331,0.35939,0.99046,0.81498,0.93592,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,143.588,0.99725,0.82513,0.96689,0.52594,0.50278,0.50844,0.34421,1.00373,0.8132,0.93744,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,148.089,1.00321,0.82938,0.97165,0.63344,0.42479,0.5045,0.35213,0.99174,0.80109,0.93531,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,153.061,0.99559,0.81555,0.95887,0.64654,0.49176,0.52188,0.34631,0.99175,0.80291,0.92977,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
