epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.75179,1.86151,3.94973,1.59636,0.00738,0.35192,0.0249,0.01313,1.45653,3.78135,1.20938,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
2,5.43568,1.75793,3.84659,1.52811,0.00841,0.366,0.06329,0.03484,1.43985,3.69383,1.17697,0.0019307,0.000643565,0.0019307,0.000643565,0.0019307,0.000643565,0.0019307,0.000643565
3,6.91398,1.68244,3.64459,1.46565,0.01483,0.44816,0.12535,0.07009,1.56635,3.41662,1.18607,0.00288179,0.000960596,0.00288179,0.000960596,0.00288179,0.000960596,0.00288179,0.000960596
4,8.44386,1.71116,3.35433,1.4776,0.74233,0.0729,0.12684,0.06582,1.62066,2.63311,1.20737,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,10.0063,1.68978,3.0374,1.4432,0.64767,0.16456,0.15931,0.08535,1.61307,2.14902,1.18421,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,11.4783,1.74922,2.75361,1.47513,0.74238,0.16493,0.20656,0.11455,1.64032,1.8948,1.21031,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,13.0106,1.68689,2.48355,1.46369,0.59046,0.21681,0.24525,0.1325,1.62978,1.76912,1.20856,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,14.5765,1.6699,2.27115,1.43917,0.66177,0.25579,0.26566,0.14905,1.49952,1.6814,1.18318,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,16.0674,1.63196,2.13409,1.43176,0.64668,0.29661,0.2912,0.16165,1.57112,1.63313,1.20033,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,17.6134,1.6408,2.05885,1.42432,0.68892,0.31834,0.31616,0.17576,1.53319,1.55007,1.17548,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,19.0559,1.60368,1.97526,1.40389,0.75489,0.30641,0.33254,0.19248,1.43392,1.49352,1.14189,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,20.5927,1.64978,1.94423,1.42697,0.76056,0.29846,0.32569,0.188,1.48579,1.48239,1.14186,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,22.129,1.55089,1.87927,1.37107,0.73551,0.32702,0.33895,0.20374,1.46627,1.45212,1.1301,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,23.6224,1.5746,1.80214,1.37478,0.76364,0.32732,0.34271,0.19701,1.40382,1.38275,1.10262,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,25.0339,1.59008,1.80193,1.37554,0.74223,0.32797,0.33721,0.19355,1.49037,1.39635,1.13046,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,26.6089,1.56802,1.78709,1.36493,0.75393,0.30469,0.33211,0.19,1.48365,1.39189,1.13639,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,28.0931,1.55469,1.7296,1.36073,0.747,0.32951,0.34803,0.19507,1.43725,1.35337,1.10433,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,29.6054,1.51657,1.69435,1.34901,0.7753,0.32005,0.39474,0.21155,1.43313,1.34181,1.09687,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,31.0641,1.47797,1.64977,1.31844,0.80859,0.33302,0.41729,0.22334,1.44336,1.3281,1.09505,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,32.6023,1.51074,1.66873,1.33538,0.81682,0.32355,0.41369,0.22875,1.46761,1.30979,1.10234,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,34.146,1.51382,1.70426,1.34663,0.76711,0.3501,0.41684,0.22676,1.44058,1.29928,1.09227,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,35.6725,1.46936,1.6459,1.32187,0.72719,0.35639,0.41927,0.2308,1.39835,1.25828,1.07297,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,37.1662,1.4731,1.62084,1.31512,0.74306,0.37164,0.42175,0.22948,1.43903,1.28377,1.07737,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,38.769,1.48179,1.62336,1.31928,0.79971,0.36702,0.41416,0.23997,1.38357,1.28833,1.07552,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,40.3428,1.47827,1.61442,1.32014,0.8033,0.3517,0.40875,0.23441,1.41971,1.30412,1.08812,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,41.9084,1.48555,1.63666,1.33435,0.79396,0.35044,0.41472,0.23576,1.42554,1.2952,1.08731,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,43.4099,1.43044,1.54969,1.28438,0.73329,0.3689,0.41201,0.23172,1.39532,1.29963,1.08023,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,44.9557,1.44266,1.57034,1.30123,0.79107,0.3856,0.40754,0.22408,1.3964,1.27862,1.07948,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,46.4277,1.45236,1.57386,1.30616,0.72911,0.37786,0.41096,0.2307,1.41229,1.27157,1.09031,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,47.8815,1.43669,1.53953,1.3006,0.72745,0.37802,0.40757,0.22866,1.36053,1.26565,1.06935,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,49.3582,1.46314,1.54502,1.30969,0.77696,0.36825,0.42204,0.23469,1.34969,1.24094,1.05719,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,50.857,1.43293,1.53851,1.28925,0.7022,0.37792,0.41412,0.2322,1.35995,1.24664,1.05894,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,52.3454,1.41103,1.52765,1.28858,0.63589,0.37192,0.4108,0.23389,1.38131,1.24952,1.05945,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,53.8069,1.41843,1.53298,1.29178,0.69587,0.36747,0.41367,0.23614,1.37631,1.25346,1.06367,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,55.2662,1.39619,1.48766,1.26968,0.66338,0.36563,0.41951,0.24535,1.38476,1.25016,1.06709,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,56.8459,1.416,1.5124,1.30165,0.73164,0.41638,0.4534,0.24501,1.41523,1.2619,1.07902,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,58.4536,1.42325,1.51709,1.28943,0.65912,0.38986,0.41118,0.22782,1.39313,1.26568,1.07707,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,59.9521,1.4004,1.49518,1.27976,0.72647,0.40212,0.45304,0.23652,1.39714,1.27392,1.0807,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,61.4655,1.40609,1.48147,1.27828,0.65791,0.38879,0.42943,0.23775,1.32733,1.26774,1.06108,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,63.0033,1.40842,1.48161,1.28512,0.75058,0.34281,0.4472,0.24552,1.35162,1.25496,1.05468,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,64.5278,1.4047,1.47252,1.28227,0.6653,0.40702,0.45163,0.25495,1.34667,1.23912,1.0566,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,66.0724,1.42141,1.4724,1.28069,0.7478,0.37556,0.44403,0.25183,1.335,1.23123,1.05248,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,67.5902,1.42536,1.51887,1.29525,0.6943,0.37876,0.43907,0.24706,1.34038,1.22506,1.05723,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,69.2131,1.38378,1.44756,1.26647,0.68425,0.396,0.44375,0.24621,1.36835,1.22682,1.06154,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,70.7412,1.42893,1.49061,1.28918,0.63943,0.40864,0.43334,0.24138,1.3653,1.21993,1.05844,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,72.2582,1.38801,1.44886,1.26068,0.61965,0.38697,0.42602,0.25186,1.33237,1.21798,1.0572,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,73.8062,1.41327,1.48755,1.28858,0.73856,0.37093,0.42123,0.24638,1.34666,1.23252,1.06476,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,75.3405,1.38086,1.44123,1.26781,0.54847,0.44541,0.44968,0.25132,1.33888,1.23509,1.05525,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,76.8964,1.36157,1.43665,1.25471,0.68497,0.42153,0.4634,0.25297,1.31994,1.24423,1.0467,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,78.4804,1.39439,1.43642,1.25248,0.70965,0.40949,0.47849,0.255,1.36194,1.23257,1.05231,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,80.0346,1.3808,1.43442,1.25965,0.73669,0.3845,0.47029,0.25875,1.33938,1.20753,1.05295,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,81.5629,1.36588,1.39272,1.23686,0.79634,0.37945,0.46776,0.26735,1.27638,1.18777,1.03118,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,83.0811,1.34685,1.41225,1.24288,0.76021,0.37619,0.46482,0.26815,1.29762,1.19111,1.03626,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,84.6895,1.3724,1.40409,1.24619,0.77257,0.37642,0.44867,0.25632,1.30014,1.18989,1.037,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,86.4222,1.36192,1.40819,1.24849,0.73574,0.37583,0.45963,0.25507,1.30719,1.20452,1.03907,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,88.6455,1.35025,1.42765,1.24787,0.59331,0.41326,0.46112,0.24774,1.34369,1.22462,1.04977,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,90.8176,1.35295,1.4079,1.24628,0.65518,0.42559,0.47125,0.25331,1.3,1.22531,1.04263,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,92.7952,1.35743,1.41394,1.25293,0.74713,0.38728,0.4578,0.24963,1.32998,1.2094,1.05079,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,94.9444,1.34672,1.40626,1.24905,0.6874,0.41177,0.46544,0.25093,1.33705,1.1978,1.05039,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,97.0349,1.34768,1.40224,1.26053,0.56808,0.42882,0.46538,0.25687,1.32282,1.19505,1.04536,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,99.1325,1.32452,1.36106,1.22752,0.55909,0.43881,0.46037,0.26761,1.27847,1.18561,1.03053,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,101.168,1.36797,1.43283,1.26153,0.56238,0.43564,0.45556,0.25632,1.32322,1.19294,1.04348,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,103.166,1.34378,1.40305,1.23999,0.56471,0.45282,0.46013,0.25256,1.31619,1.20365,1.04766,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,105.186,1.36322,1.40462,1.25141,0.78287,0.39213,0.47175,0.25825,1.30436,1.20362,1.04129,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,107.166,1.3391,1.37076,1.23932,0.75802,0.36406,0.44068,0.25297,1.31858,1.19743,1.04183,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,109.183,1.33498,1.37887,1.236,0.54959,0.39659,0.43887,0.26191,1.27129,1.18455,1.02673,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,111.183,1.34007,1.38769,1.23338,0.63073,0.37152,0.44615,0.25833,1.26875,1.19668,1.02688,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,113.144,1.30317,1.35441,1.22448,0.46871,0.45493,0.4489,0.25697,1.29244,1.17168,1.02931,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,115.091,1.33924,1.39058,1.24193,0.74224,0.37059,0.45091,0.25801,1.28945,1.17298,1.02552,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,117.142,1.36006,1.38292,1.24451,0.62287,0.41428,0.46276,0.2577,1.30385,1.1706,1.0314,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,119.19,1.33815,1.38874,1.23784,0.65272,0.42398,0.46574,0.2574,1.31784,1.15875,1.03336,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
