epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.21826,1.71456,3.9308,1.41993,0.00751,0.37522,0.02833,0.01586,1.32618,3.75734,1.15901,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
2,4.66537,1.52989,3.73245,1.33182,0.00998,0.3948,0.0736,0.04627,1.21737,3.64066,1.09104,0.0019307,0.000643565,0.0019307,0.000643565,0.0019307,0.000643565,0.0019307,0.000643565
3,5.98823,1.47844,3.40437,1.27213,0.01372,0.46912,0.17881,0.12236,1.25832,3.2282,1.08574,0.00288179,0.000960596,0.00288179,0.000960596,0.00288179,0.000960596,0.00288179,0.000960596
4,7.32915,1.47731,2.87813,1.27316,0.74064,0.15838,0.18647,0.12387,1.28396,2.21487,1.09589,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,8.65872,1.44512,2.43429,1.24396,0.63233,0.20422,0.23175,0.1604,1.24986,1.69742,1.07059,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,10.0867,1.39345,2.11844,1.22932,0.65106,0.2322,0.2556,0.17369,1.21824,1.60783,1.05503,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,11.4231,1.37625,1.89995,1.2238,0.6564,0.28356,0.28827,0.1991,1.18898,1.50581,1.04665,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,12.7642,1.32669,1.78621,1.19995,0.70441,0.32139,0.31717,0.22032,1.17806,1.43523,1.03408,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,14.1362,1.29763,1.6641,1.18537,0.74199,0.31651,0.33642,0.22723,1.16493,1.38618,1.02844,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,15.4763,1.25943,1.58675,1.15228,0.71643,0.34472,0.33684,0.23332,1.17681,1.35356,1.02459,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,16.82,1.24862,1.54016,1.15094,0.81937,0.31664,0.37053,0.24296,1.17495,1.33557,1.02216,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,18.194,1.23439,1.52169,1.13792,0.74956,0.33833,0.37234,0.25098,1.1567,1.2866,1.01076,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,19.5218,1.22963,1.49052,1.13608,0.71942,0.37665,0.37933,0.26047,1.12865,1.28385,0.99568,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,20.8486,1.19662,1.44738,1.13234,0.793,0.33223,0.38652,0.2668,1.10946,1.266,0.97904,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,22.2131,1.17665,1.41211,1.1111,0.78605,0.3314,0.40102,0.27352,1.09078,1.24308,0.96827,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,23.5783,1.16872,1.41045,1.11238,0.78429,0.32123,0.40773,0.27877,1.07957,1.22229,0.96825,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,25.0166,1.14604,1.36344,1.09672,0.76519,0.35873,0.42697,0.28427,1.09384,1.22113,0.97406,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,26.3966,1.14387,1.34179,1.09691,0.76909,0.32934,0.42009,0.28014,1.09814,1.22681,0.97414,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,27.7483,1.14477,1.33008,1.09072,0.72668,0.38505,0.41617,0.26951,1.09259,1.21978,0.97044,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,29.1252,1.14128,1.32127,1.0843,0.82194,0.32752,0.42622,0.28238,1.05968,1.18861,0.95312,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,30.5482,1.1155,1.28083,1.07148,0.76154,0.36153,0.42215,0.28095,1.05088,1.18284,0.95314,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,31.8949,1.07913,1.25704,1.06837,0.73517,0.36305,0.42073,0.28095,1.06081,1.16074,0.95516,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,33.2555,1.09401,1.26903,1.07051,0.56111,0.40865,0.41355,0.28353,1.05733,1.1583,0.96121,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,34.6431,1.07154,1.23815,1.05426,0.66101,0.40767,0.43256,0.28019,1.06432,1.18359,0.97048,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,36.0285,1.07367,1.23941,1.06237,0.65004,0.42715,0.42182,0.27432,1.06959,1.18794,0.96223,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,37.4138,1.07963,1.21579,1.06356,0.5862,0.3828,0.39859,0.27807,1.06167,1.14874,0.95031,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,38.853,1.06149,1.2061,1.05409,0.6057,0.40284,0.41788,0.27984,1.06714,1.16152,0.94345,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,40.2558,1.04612,1.18445,1.0478,0.64011,0.41411,0.45378,0.29036,1.04446,1.13439,0.9492,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,41.615,1.05645,1.16762,1.04395,0.70387,0.38319,0.46721,0.29164,1.05163,1.11984,0.95247,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,42.9928,1.03743,1.15054,1.04417,0.60142,0.44155,0.46198,0.29004,1.05568,1.1039,0.9451,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,44.3931,1.03127,1.16192,1.03483,0.75677,0.36299,0.46164,0.29307,1.05052,1.09064,0.94867,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,45.8042,1.02985,1.1485,1.03202,0.78728,0.35264,0.47664,0.29477,1.07478,1.09768,0.95369,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,47.2008,1.0155,1.13828,1.02935,0.70803,0.35126,0.46472,0.30171,1.05027,1.09599,0.9518,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,48.5883,1.01864,1.13588,1.03304,0.73426,0.35377,0.466,0.30156,1.05066,1.09114,0.94739,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,49.9802,1.00401,1.12428,1.02382,0.7407,0.36064,0.4792,0.31179,1.05136,1.09829,0.94666,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,51.41,1.00292,1.10717,1.01788,0.70758,0.37432,0.47639,0.31114,1.05137,1.09744,0.94343,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,52.8033,1.00065,1.09548,1.02525,0.69724,0.37294,0.48883,0.314,1.03896,1.08379,0.94055,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,54.3675,0.98905,1.08714,1.01145,0.73177,0.32827,0.49305,0.3147,1.05667,1.08885,0.94204,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,55.8287,0.9842,1.07735,1.01758,0.47346,0.50013,0.50389,0.32625,1.03724,1.06931,0.94397,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,57.297,0.98018,1.0934,1.0127,0.43044,0.47825,0.47784,0.30802,1.03761,1.08585,0.94371,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,58.7355,0.9773,1.07667,1.01366,0.41757,0.47909,0.46621,0.30311,1.02534,1.07978,0.94251,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,60.1964,0.98264,1.07881,1.0132,0.47353,0.49114,0.48638,0.31379,1.01761,1.08613,0.9376,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,61.6205,0.9836,1.05619,1.00955,0.50048,0.53558,0.50619,0.31507,1.03217,1.07062,0.93863,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,63.0944,0.98967,1.06816,1.00994,0.46715,0.50471,0.5022,0.31191,1.00335,1.06041,0.93365,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,64.5364,0.97174,1.04461,1.00492,0.61349,0.39982,0.48,0.30573,1.01404,1.05358,0.93887,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,65.9913,0.98262,1.05538,1.01067,0.48407,0.44421,0.47359,0.30427,1.00991,1.04865,0.93574,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,67.4412,0.96815,1.04925,0.99821,0.45146,0.50184,0.49981,0.32119,1.02214,1.03766,0.94013,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,68.9604,0.96237,1.03725,0.99612,0.498,0.50657,0.51541,0.33223,1.014,1.04838,0.93835,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,70.5799,0.95632,1.0148,0.99576,0.47287,0.48512,0.47604,0.318,1.01587,1.05102,0.9324,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,72.1052,0.95525,1.02145,0.99489,0.47513,0.4621,0.46089,0.30522,1.01851,1.05563,0.9345,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,73.5979,0.96499,1.03382,0.99991,0.60155,0.40512,0.47871,0.30839,1.0091,1.04106,0.93285,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,75.0847,0.95853,1.00385,1.00344,0.59911,0.40936,0.48771,0.31428,1.0183,1.04098,0.93547,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,76.5594,0.93164,1.00262,0.99303,0.44818,0.4995,0.50126,0.30978,1.02834,1.03354,0.93837,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,78.0713,0.93358,1.00519,0.99209,0.61949,0.39873,0.50199,0.31235,1.02598,1.04824,0.94144,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,79.566,0.94698,1.00474,0.98904,0.55588,0.4087,0.4851,0.30152,1.01528,1.04622,0.9352,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,81.0437,0.93858,1.00873,0.98385,0.44914,0.50544,0.49334,0.3072,1.02552,1.03924,0.94169,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,82.5148,0.92653,0.97826,0.9839,0.40259,0.54086,0.49148,0.30085,1.03326,1.05007,0.94249,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,83.9139,0.93357,0.98937,0.98175,0.71101,0.38745,0.50945,0.31083,1.03072,1.05921,0.93652,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,85.3778,0.91822,0.98467,0.98693,0.70255,0.39269,0.50337,0.30691,1.0296,1.03986,0.92722,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
