epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,175.158,0.9311,1.25429,1.09315,0.68486,0.48421,0.52737,0.34072,0.99938,1.1624,1.07936,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,180.832,0.93694,1.24167,1.09241,0.57307,0.4533,0.49432,0.34095,0.99025,1.15668,1.06715,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,186.541,0.93186,1.23243,1.09425,0.67716,0.46981,0.5253,0.34782,0.9956,1.15586,1.0743,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,192.215,0.93272,1.22918,1.08307,0.64674,0.49812,0.53301,0.34907,0.99593,1.13071,1.07521,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,197.913,0.93983,1.2617,1.10214,0.71063,0.46456,0.53094,0.34604,0.98485,1.12339,1.07419,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,203.571,0.91437,1.20251,1.07788,0.57837,0.53374,0.53455,0.34092,0.97868,1.10977,1.06785,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,209.276,0.91945,1.20017,1.07647,0.71353,0.4687,0.53901,0.35794,0.96916,1.10635,1.05887,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,214.97,0.9323,1.21915,1.08515,0.72094,0.47753,0.53927,0.36235,0.97114,1.10977,1.06328,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,220.683,0.89265,1.18856,1.06916,0.65833,0.50359,0.54281,0.36298,0.96244,1.11509,1.05302,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,226.486,0.93039,1.20488,1.09055,0.73337,0.47317,0.53664,0.35647,0.96547,1.1101,1.05482,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,232.126,0.88983,1.18393,1.07789,0.72083,0.44991,0.52575,0.35772,0.95909,1.10808,1.05403,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,238.714,0.91026,1.27833,1.07201,0.68116,0.48682,0.54724,0.36314,0.9815,1.12395,1.0688,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,244.3,0.89499,1.25521,1.0567,0.68155,0.4825,0.54903,0.35933,1.00325,1.14991,1.08126,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,249.866,0.87476,1.22433,1.05148,0.72356,0.47322,0.55198,0.35645,0.99445,1.13459,1.07627,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,255.361,0.87417,1.21024,1.05162,0.68609,0.4775,0.5519,0.35557,0.98717,1.11448,1.07033,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,260.899,0.86703,1.20586,1.0541,0.70084,0.47463,0.54817,0.35771,0.97924,1.10666,1.06555,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,266.444,0.87949,1.17917,1.04778,0.69308,0.4782,0.55794,0.36453,0.97465,1.10179,1.05961,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,271.99,0.87289,1.1772,1.04802,0.69309,0.47817,0.55999,0.36658,0.96555,1.09821,1.05618,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,277.557,0.86721,1.1966,1.04155,0.68182,0.47996,0.56137,0.36796,0.96901,1.09939,1.05589,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,283.13,0.86223,1.18503,1.04815,0.68638,0.49034,0.55972,0.36472,0.96826,1.09507,1.0556,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
50,288.69,0.88369,1.20548,1.05698,0.68609,0.47968,0.56049,0.36779,0.96589,1.09459,1.05409,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
